desk, underlying, base_market, base_feedcode, calculated_at, volatility_type, volatility, winddown
UST,TN10,XCME,ZNM9,1557495000000000000,BootstrapBaseWithGap,0.00936069,0.594624
UST,TN10,XCME,ZNM9,1557495000000000000,BootstrapBaseWithoutGap,0.00515601,0.405512
UST,TN10,XCME,ZNM9,1557495000000000000,BootstrapNonBaseWithGap,0.00938632,0.594624
UST,TN10,XCME,ZNM9,1557495000000000000,BootstrapNonBaseWithoutGap,0.00506881,0.405512
UST,TN10,XCME,ZNM9,1557495000000000000,BootstrapSliding10,0,0.01691
UST,TN10,XCME,ZNM9,1557495000000000000,BootstrapSliding30,0,0.05073
UST,TN10,XCME,ZNM9,1557495000000000000,BootstrapSliding60,0,0.101464
UST,TN10,XCME,ZNM9,1557495000000000000,MoveBaseWithGap,0.00954828,0.594624
UST,TN10,XCME,ZNM9,1557495000000000000,MoveBaseWithoutGap,0.00332164,0.405512
UST,TN10,XCME,ZNM9,1557495000000000000,MoveNonBaseWithGap,0.00954828,0.594624
UST,TN10,XCME,ZNM9,1557495000000000000,MoveNonBaseWithoutGap,0.00332164,0.405512
UST,TN10,XCME,ZNM9,1557495000000000000,CloseToClose,0.00640233,0.594624
UST,TN10,XCME,ZNM9,1557496800000000000,BootstrapBaseWithGap,0.00928316,0.64536
UST,TN10,XCME,ZNM9,1557496800000000000,BootstrapBaseWithoutGap,0.00486544,0.456248
UST,TN10,XCME,ZNM9,1557496800000000000,BootstrapNonBaseWithGap,0.00922867,0.64536
UST,TN10,XCME,ZNM9,1557496800000000000,BootstrapNonBaseWithoutGap,0.00493985,0.456248
UST,TN10,XCME,ZNM9,1557496800000000000,BootstrapSliding10,0,0.016916
UST,TN10,XCME,ZNM9,1557496800000000000,BootstrapSliding30,0,0.050736
UST,TN10,XCME,ZNM9,1557496800000000000,BootstrapSliding60,0,0.101466
UST,TN10,XCME,ZNM9,1557496800000000000,MoveBaseWithGap,0.00916527,0.64536
UST,TN10,XCME,ZNM9,1557496800000000000,MoveBaseWithoutGap,0.00313151,0.456248
UST,TN10,XCME,ZNM9,1557496800000000000,MoveNonBaseWithGap,0.00916527,0.64536
UST,TN10,XCME,ZNM9,1557496800000000000,MoveNonBaseWithoutGap,0.00313151,0.456248
UST,TN10,XCME,ZNM9,1557496800000000000,CloseToClose,0.00614551,0.64536
UST,TN10,XCME,ZNM9,1557498600000000000,BootstrapBaseWithGap,0.00885303,0.69609
UST,TN10,XCME,ZNM9,1557498600000000000,BootstrapBaseWithoutGap,0.00457049,0.506978
UST,TN10,XCME,ZNM9,1557498600000000000,BootstrapNonBaseWithGap,0.00893392,0.69609
UST,TN10,XCME,ZNM9,1557498600000000000,BootstrapNonBaseWithoutGap,0.00457855,0.506978
UST,TN10,XCME,ZNM9,1557498600000000000,BootstrapSliding10,0,0.01691
UST,TN10,XCME,ZNM9,1557498600000000000,BootstrapSliding30,0,0.05073
UST,TN10,XCME,ZNM9,1557498600000000000,BootstrapSliding60,0,0.101466
UST,TN10,XCME,ZNM9,1557498600000000000,MoveBaseWithGap,0.00882498,0.69609
UST,TN10,XCME,ZNM9,1557498600000000000,MoveBaseWithoutGap,0.00297071,0.506978
UST,TN10,XCME,ZNM9,1557498600000000000,MoveNonBaseWithGap,0.00882498,0.69609
UST,TN10,XCME,ZNM9,1557498600000000000,MoveNonBaseWithoutGap,0.00297071,0.506978
UST,TN10,XCME,ZNM9,1557498600000000000,CloseToClose,0.00591734,0.69609
UST,TN10,XCME,ZNM9,1557500400000000000,BootstrapBaseWithGap,0.00868116,0.74682
UST,TN10,XCME,ZNM9,1557500400000000000,BootstrapBaseWithoutGap,0.0045461,0.557708
UST,TN10,XCME,ZNM9,1557500400000000000,BootstrapNonBaseWithGap,0.00871371,0.74682
UST,TN10,XCME,ZNM9,1557500400000000000,BootstrapNonBaseWithoutGap,0.00448788,0.557708
UST,TN10,XCME,ZNM9,1557500400000000000,BootstrapSliding10,0,0.01691
UST,TN10,XCME,ZNM9,1557500400000000000,BootstrapSliding30,0,0.05073
UST,TN10,XCME,ZNM9,1557500400000000000,BootstrapSliding60,0,0.10146
UST,TN10,XCME,ZNM9,1557500400000000000,MoveBaseWithGap,0.00851998,0.74682
UST,TN10,XCME,ZNM9,1557500400000000000,MoveBaseWithoutGap,0.00283238,0.557708
UST,TN10,XCME,ZNM9,1557500400000000000,MoveNonBaseWithGap,0.00851998,0.74682
UST,TN10,XCME,ZNM9,1557500400000000000,MoveNonBaseWithoutGap,0.00283238,0.557708
UST,TN10,XCME,ZNM9,1557500400000000000,CloseToClose,0.00571283,0.74682
UST,TN10,XCME,ZNM9,1557502200000000000,BootstrapBaseWithGap,0.00837959,0.780062
UST,TN10,XCME,ZNM9,1557502200000000000,BootstrapBaseWithoutGap,0.00437741,0.59095
UST,TN10,XCME,ZNM9,1557502200000000000,BootstrapNonBaseWithGap,0.00844597,0.780062
UST,TN10,XCME,ZNM9,1557502200000000000,BootstrapNonBaseWithoutGap,0.00440663,0.59095
UST,TN10,XCME,ZNM9,1557502200000000000,BootstrapSliding10,0,0.010664
UST,TN10,XCME,ZNM9,1557502200000000000,BootstrapSliding30,0,0.033242
UST,TN10,XCME,ZNM9,1557502200000000000,BootstrapSliding60,0,0.083972
UST,TN10,XCME,ZNM9,1557502200000000000,MoveBaseWithGap,0.00833646,0.780062
UST,TN10,XCME,ZNM9,1557502200000000000,MoveBaseWithoutGap,0.00275156,0.59095
UST,TN10,XCME,ZNM9,1557502200000000000,MoveNonBaseWithGap,0.00833646,0.780062
UST,TN10,XCME,ZNM9,1557502200000000000,MoveNonBaseWithoutGap,0.00275156,0.59095
UST,TN10,XCME,ZNM9,1557502200000000000,CloseToClose,0.00558978,0.780062
UST,TN10,XCME,ZNM9,1557504000000000000,BootstrapBaseWithGap,0.00831671,0.812048
UST,TN10,XCME,ZNM9,1557504000000000000,BootstrapBaseWithoutGap,0.00433543,0.622936
UST,TN10,XCME,ZNM9,1557504000000000000,BootstrapNonBaseWithGap,0.00835996,0.812048
UST,TN10,XCME,ZNM9,1557504000000000000,BootstrapNonBaseWithoutGap,0.00435064,0.622936
UST,TN10,XCME,ZNM9,1557504000000000000,BootstrapSliding10,0,0.010666
UST,TN10,XCME,ZNM9,1557504000000000000,BootstrapSliding30,0,0.031986
UST,TN10,XCME,ZNM9,1557504000000000000,BootstrapSliding60,0,0.065228
UST,TN10,XCME,ZNM9,1557504000000000000,MoveBaseWithGap,0.00817063,0.812048
UST,TN10,XCME,ZNM9,1557504000000000000,MoveBaseWithoutGap,0.00267999,0.622936
UST,TN10,XCME,ZNM9,1557504000000000000,MoveNonBaseWithGap,0.00817063,0.812048
UST,TN10,XCME,ZNM9,1557504000000000000,MoveNonBaseWithoutGap,0.00267999,0.622936
UST,TN10,XCME,ZNM9,1557504000000000000,CloseToClose,0.00547858,0.812048
UST,TN10,XCME,ZNM9,1557505800000000000,BootstrapBaseWithGap,0.00829472,0.83752
UST,TN10,XCME,ZNM9,1557505800000000000,BootstrapBaseWithoutGap,0.00418607,0.648408
UST,TN10,XCME,ZNM9,1557505800000000000,BootstrapNonBaseWithGap,0.0081102,0.83752
UST,TN10,XCME,ZNM9,1557505800000000000,BootstrapNonBaseWithoutGap,0.00433042,0.648408
UST,TN10,XCME,ZNM9,1557505800000000000,BootstrapSliding10,0,0.008334
UST,TN10,XCME,ZNM9,1557505800000000000,BootstrapSliding30,0,0.025472
UST,TN10,XCME,ZNM9,1557505800000000000,BootstrapSliding60,0,0.057458
UST,TN10,XCME,ZNM9,1557505800000000000,MoveBaseWithGap,0.00804542,0.83752
UST,TN10,XCME,ZNM9,1557505800000000000,MoveBaseWithoutGap,0.00262682,0.648408
UST,TN10,XCME,ZNM9,1557505800000000000,MoveNonBaseWithGap,0.00804542,0.83752
UST,TN10,XCME,ZNM9,1557505800000000000,MoveNonBaseWithoutGap,0.00262682,0.648408
UST,TN10,XCME,ZNM9,1557505800000000000,CloseToClose,0.00539463,0.83752
UST,TN10,XCME,ZNM9,1557507600000000000,BootstrapBaseWithGap,0.00798924,0.86253
UST,TN10,XCME,ZNM9,1557507600000000000,BootstrapBaseWithoutGap,0.00412697,0.673418
UST,TN10,XCME,ZNM9,1557507600000000000,BootstrapNonBaseWithGap,0.00793486,0.86253
